n,m,final_balance,total_return,trade_count,yearly_details
5,20,"₩117,883,311",11688.33%,194,"2014: ₩890,472 (-10.95%); 2015: ₩1,415,954 (59.01%); 2016: ₩1,214,667 (-14.22%); 2017: ₩13,671,505 (1025.54%); 2018: ₩13,789,220 (0.86%); 2019: ₩14,284,225 (3.59%); 2020: ₩17,536,098 (22.77%); 2021: ₩52,883,675 (201.57%); 2022: ₩31,839,105 (-39.79%); 2023: ₩68,510,139 (115.18%); 2024: ₩120,207,542 (75.46%); 2025: ₩117,883,311 (-1.93%)"
5,21,"₩76,763,959",7576.40%,190,"2014: ₩786,922 (-21.31%); 2015: ₩1,197,186 (52.14%); 2016: ₩900,877 (-24.75%); 2017: ₩9,472,462 (951.47%); 2018: ₩9,554,022 (0.86%); 2019: ₩9,346,465 (-2.17%); 2020: ₩13,595,076 (45.46%); 2021: ₩36,896,676 (171.40%); 2022: ₩20,931,822 (-43.27%); 2023: ₩41,892,078 (100.14%); 2024: ₩78,277,465 (86.86%); 2025: ₩76,763,959 (-1.93%)"
5,22,"₩56,393,883",5539.39%,192,"2014: ₩844,581 (-15.54%); 2015: ₩1,131,393 (33.96%); 2016: ₩788,351 (-30.32%); 2017: ₩7,756,931 (883.94%); 2018: ₩7,233,372 (-6.75%); 2019: ₩6,667,925 (-7.82%); 2020: ₩12,842,734 (92.60%); 2021: ₩32,369,314 (152.04%); 2022: ₩16,525,461 (-48.95%); 2023: ₩32,438,661 (96.30%); 2024: ₩57,505,765 (77.28%); 2025: ₩56,393,883 (-1.93%)"
5,23,"₩100,245,600",9924.56%,188,"2014: ₩844,581 (-15.54%); 2015: ₩1,026,847 (21.58%); 2016: ₩795,053 (-22.57%); 2017: ₩7,238,471 (810.44%); 2018: ₩7,231,346 (-0.10%); 2019: ₩9,678,457 (33.84%); 2020: ₩24,504,500 (153.19%); 2021: ₩59,546,225 (143.00%); 2022: ₩30,356,877 (-49.02%); 2023: ₩58,769,539 (93.60%); 2024: ₩104,141,046 (77.20%); 2025: ₩100,245,600 (-3.74%)"
5,24,"₩127,952,948",12695.29%,182,"2014: ₩602,901 (-39.71%); 2015: ₩737,170 (22.27%); 2016: ₩570,766 (-22.57%); 2017: ₩5,778,450 (912.40%); 2018: ₩5,509,496 (-4.65%); 2019: ₩11,855,072 (115.18%); 2020: ₩28,752,338 (142.53%); 2021: ₩69,983,351 (143.40%); 2022: ₩38,508,416 (-44.97%); 2023: ₩74,489,720 (93.44%); 2024: ₩126,959,827 (70.44%); 2025: ₩127,952,948 (0.78%)"
5,25,"₩188,995,762",18799.58%,180,"2014: ₩647,292 (-35.27%); 2015: ₩787,004 (21.58%); 2016: ₩639,238 (-18.78%); 2017: ₩7,646,498 (1096.19%); 2018: ₩6,949,566 (-9.11%); 2019: ₩14,938,839 (114.96%); 2020: ₩36,496,011 (144.30%); 2021: ₩87,107,471 (138.68%); 2022: ₩47,078,515 (-45.95%); 2023: ₩94,239,681 (100.18%); 2024: ₩187,528,850 (98.99%); 2025: ₩188,995,762 (0.78%)"
5,26,"₩149,694,826",14869.48%,170,"2014: ₩642,252 (-35.77%); 2015: ₩762,716 (18.76%); 2016: ₩610,695 (-19.93%); 2017: ₩3,532,293 (478.41%); 2018: ₩3,058,658 (-13.41%); 2019: ₩6,800,067 (122.32%); 2020: ₩17,365,907 (155.38%); 2021: ₩59,709,083 (243.83%); 2022: ₩34,297,788 (-42.56%); 2023: ₩68,463,271 (99.61%); 2024: ₩148,532,953 (116.95%); 2025: ₩149,694,826 (0.78%)"
5,27,"₩91,953,251",9095.33%,160,"2014: ₩640,965 (-35.90%); 2015: ₩739,221 (15.33%); 2016: ₩550,427 (-25.54%); 2017: ₩2,890,784 (425.19%); 2018: ₩2,561,252 (-11.40%); 2019: ₩5,720,246 (123.34%); 2020: ₩14,574,905 (154.80%); 2021: ₩54,422,209 (273.40%); 2022: ₩31,668,315 (-41.81%); 2023: ₩42,759,759 (35.02%); 2024: ₩90,725,453 (112.17%); 2025: ₩91,953,251 (1.35%)"
5,28,"₩74,768,124",7376.81%,166,"2014: ₩603,671 (-39.63%); 2015: ₩707,798 (17.25%); 2016: ₩562,687 (-20.50%); 2017: ₩2,802,766 (398.10%); 2018: ₩2,350,625 (-16.13%); 2019: ₩4,982,705 (111.97%); 2020: ₩11,913,901 (139.11%); 2021: ₩50,507,027 (323.93%); 2022: ₩28,542,553 (-43.49%); 2023: ₩36,688,935 (28.54%); 2024: ₩78,315,359 (113.46%); 2025: ₩74,768,124 (-4.53%)"
5,29,"₩66,430,563",6543.06%,162,"2014: ₩569,518 (-43.05%); 2015: ₩753,442 (32.29%); 2016: ₩808,596 (7.32%); 2017: ₩3,815,951 (371.92%); 2018: ₩2,937,035 (-23.03%); 2019: ₩6,297,243 (114.41%); 2020: ₩10,203,564 (62.03%); 2021: ₩68,142,609 (567.83%); 2022: ₩41,204,990 (-39.53%); 2023: ₩53,195,937 (29.10%); 2024: ₩69,582,238 (30.80%); 2025: ₩66,430,563 (-4.53%)"
