n,m,final_balance,total_return,trade_count,yearly_details
5,20,"₩4,780",-99.52%,1330,"2014: ₩163,165 (-83.68%); 2015: ₩82,343 (-49.53%); 2016: ₩58,120 (-29.42%); 2017: ₩341,935 (488.33%); 2018: ₩71,390 (-79.12%); 2019: ₩72,113 (1.01%); 2020: ₩86,389 (19.80%); 2021: ₩59,054 (-31.64%); 2022: ₩14,166 (-76.01%); 2023: ₩10,676 (-24.64%); 2024: ₩6,008 (-43.72%); 2025: ₩4,780 (-20.45%)"
5,21,"₩4,150",-99.58%,1274,"2014: ₩197,105 (-80.29%); 2015: ₩117,510 (-40.38%); 2016: ₩67,338 (-42.70%); 2017: ₩244,233 (262.70%); 2018: ₩53,706 (-78.01%); 2019: ₩61,979 (15.40%); 2020: ₩88,084 (42.12%); 2021: ₩57,745 (-34.44%); 2022: ₩12,924 (-77.62%); 2023: ₩8,580 (-33.61%); 2024: ₩5,023 (-41.45%); 2025: ₩4,150 (-17.38%)"
5,22,"₩5,844",-99.42%,1218,"2014: ₩221,555 (-77.84%); 2015: ₩193,643 (-12.60%); 2016: ₩105,764 (-45.38%); 2017: ₩335,170 (216.90%); 2018: ₩87,526 (-73.89%); 2019: ₩66,195 (-24.37%); 2020: ₩89,577 (35.32%); 2021: ₩63,602 (-29.00%); 2022: ₩16,136 (-74.63%); 2023: ₩11,409 (-29.29%); 2024: ₩6,896 (-39.56%); 2025: ₩5,844 (-15.26%)"
5,23,"₩25,292",-97.47%,1172,"2014: ₩229,052 (-77.09%); 2015: ₩232,828 (1.65%); 2016: ₩181,810 (-21.91%); 2017: ₩638,648 (251.27%); 2018: ₩213,505 (-66.57%); 2019: ₩222,451 (4.19%); 2020: ₩284,430 (27.86%); 2021: ₩254,548 (-10.51%); 2022: ₩64,034 (-74.84%); 2023: ₩45,134 (-29.52%); 2024: ₩29,905 (-33.74%); 2025: ₩25,292 (-15.43%)"
5,24,"₩66,749",-93.33%,1122,"2014: ₩239,783 (-76.02%); 2015: ₩224,245 (-6.48%); 2016: ₩182,020 (-18.83%); 2017: ₩1,069,305 (487.47%); 2018: ₩455,775 (-57.38%); 2019: ₩381,040 (-16.40%); 2020: ₩497,377 (30.53%); 2021: ₩454,298 (-8.66%); 2022: ₩114,099 (-74.88%); 2023: ₩90,933 (-20.30%); 2024: ₩77,936 (-14.29%); 2025: ₩66,749 (-14.35%)"
5,25,"₩82,675",-91.73%,1102,"2014: ₩275,271 (-72.47%); 2015: ₩223,431 (-18.83%); 2016: ₩162,935 (-27.08%); 2017: ₩1,430,293 (777.83%); 2018: ₩520,757 (-63.59%); 2019: ₩551,678 (5.94%); 2020: ₩767,563 (39.13%); 2021: ₩671,924 (-12.46%); 2022: ₩174,923 (-73.97%); 2023: ₩126,807 (-27.51%); 2024: ₩97,041 (-23.47%); 2025: ₩82,675 (-14.80%)"
5,26,"₩99,279",-90.07%,1074,"2014: ₩328,904 (-67.11%); 2015: ₩274,653 (-16.49%); 2016: ₩243,970 (-11.17%); 2017: ₩1,976,235 (710.03%); 2018: ₩682,875 (-65.45%); 2019: ₩624,953 (-8.48%); 2020: ₩895,678 (43.32%); 2021: ₩963,696 (7.59%); 2022: ₩170,574 (-82.30%); 2023: ₩124,404 (-27.07%); 2024: ₩116,775 (-6.13%); 2025: ₩99,279 (-14.98%)"
5,27,"₩348,476",-65.15%,1026,"2014: ₩344,806 (-65.52%); 2015: ₩325,332 (-5.65%); 2016: ₩296,771 (-8.78%); 2017: ₩3,301,018 (1012.31%); 2018: ₩1,811,744 (-45.12%); 2019: ₩1,950,101 (7.64%); 2020: ₩2,626,430 (34.68%); 2021: ₩3,121,838 (18.86%); 2022: ₩564,918 (-81.90%); 2023: ₩415,625 (-26.43%); 2024: ₩415,014 (-0.15%); 2025: ₩348,476 (-16.03%)"
5,28,"₩621,769",-37.82%,1004,"2014: ₩428,158 (-57.18%); 2015: ₩461,974 (7.90%); 2016: ₩356,919 (-22.74%); 2017: ₩4,263,074 (1094.41%); 2018: ₩2,655,489 (-37.71%); 2019: ₩2,773,046 (4.43%); 2020: ₩3,271,789 (17.99%); 2021: ₩3,929,817 (20.11%); 2022: ₩963,388 (-75.49%); 2023: ₩785,903 (-18.42%); 2024: ₩743,553 (-5.39%); 2025: ₩621,769 (-16.38%)"
5,29,"₩738,790",-26.12%,970,"2014: ₩449,236 (-55.08%); 2015: ₩431,736 (-3.90%); 2016: ₩333,606 (-22.73%); 2017: ₩3,008,621 (801.85%); 2018: ₩2,361,983 (-21.49%); 2019: ₩2,692,192 (13.98%); 2020: ₩3,022,768 (12.28%); 2021: ₩3,283,995 (8.64%); 2022: ₩925,296 (-71.82%); 2023: ₩976,488 (5.53%); 2024: ₩864,463 (-11.47%); 2025: ₩738,790 (-14.54%)"
