short_period,long_period,final_value,total_return,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2024,value_2025,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025
5,20,89502746.47758277,8850.274647758277,1000000,478944.8332013705,601933.8525139,1336582.3076183568,12462455.4547108,8454278.596074112,14977740.878616948,61851133.07054816,74233868.8139785,34077396.62589528,46370068.71859619,91195478.2013997,89502746.47758277,0.0,-52.10551667986295,25.679161938222496,122.04803767661365,832.4121218481135,-32.1620155289831,77.16166682243139,312.95368621879595,20.020224575847998,-54.0945431373255,36.07280282484889,96.66884419523576,-1.8561575170192492
5,21,61242666.25506853,6024.266625506853,1000000,425372.78029866196,526161.8228875104,1140560.6159699415,10666251.898372706,6341946.338047767,11700395.239393814,44758998.58760989,53217005.87986022,24315390.55925286,33066910.43018929,63126050.03517616,61242666.25506853,0.0,-57.46272197013381,23.694285872754396,116.76993015393766,835.1762413172617,-40.541941082271606,84.49218293126603,282.54262075619255,18.89677508243374,-54.308984210524834,35.991689500566835,90.9039859301267,-2.983528636843481
5,22,82897624.89847726,8189.762489847726,1000000,488150.7118174331,563396.9355847626,1240098.5707876547,12177780.131407361,6909657.402736432,14132632.82336167,57472141.26096254,74153627.08176178,32640581.15661195,43761323.43063809,84113096.97221756,82897624.89847726,0.0,-51.184928818256694,15.41454758658046,120.11098968803016,882.0009810730274,-43.260123535028086,104.5344942538645,306.6626649067069,29.02534246123521,-55.98248873164026,34.07029495175955,92.20875964945901,-1.4450449662337035
5,23,119697251.06667814,11869.725106667813,1000000,503778.8890319272,581686.461796813,1341385.21154791,15503899.335218798,9516165.368267218,19351034.5588583,69918396.90171404,92002839.79647908,42030179.62933459,61588705.65669318,119561885.33783682,119697251.06667814,0.0,-49.62211109680728,15.46463626425368,130.6027902737171,1055.8126034003208,-38.62082588055632,103.34907822626352,261.3160665340632,31.58602581493632,-54.31643227284047,46.534481174826794,94.12956330710512,0.11321812838500092
5,24,127549996.50249653,12654.999650249652,1000000,495278.0066627759,556773.5954082895,1213088.9718464501,14280983.19168397,8440926.62796097,17881458.5763629,68036064.95308457,94543182.32396722,42608995.92993817,64596998.96288991,123182164.31988828,127549996.50249653,0.0,-50.472199333722415,12.416377856120835,117.87832286782131,1077.241201850743,-40.89393906102874,111.84236476040105,280.48386636099093,38.96039165281102,-54.93170963514674,51.60413324244144,90.69332368002844,3.5458316605523725
5,25,134722955.22808632,13372.295522808634,1000000,513510.54612423555,605496.0163980646,1314029.1282200967,13917985.608516237,8663458.441679465,18225602.910630465,72081124.31752299,106214213.0034225,44487890.02589388,71677008.02246106,130109491.67875724,134722955.22808632,0.0,-48.64894538757644,17.91306351312493,117.01697329685305,959.1839487887676,-37.753503377827855,110.37329414484176,295.4937714322754,47.353712929810285,-58.11493700521947,61.11577326041295,81.52193467392709,3.5458316605523406
5,26,102816648.2848869,10181.664828488689,1000000,501584.38346126716,565254.6819856253,1178477.921094283,12136732.070181863,7676032.836208363,14705967.97649441,57816780.293220945,79782800.50648399,34443249.820444204,54417333.114216365,104624820.28453058,102816648.2848869,0.0,-49.841561653873285,12.69383589755936,108.48618483875774,929.865036326877,-36.75370938551714,91.58292167700702,293.15181690612684,37.99246533940696,-56.82872799426866,57.99128536911841,92.26377754480156,-1.728243828497197
5,27,136345120.5187096,13534.51205187096,1000000,568245.3402793157,638167.1529714225,1329435.6307887868,12884596.340670388,8417681.862956356,16123202.093402289,64964198.49296261,98542145.28929813,41401424.538451545,70674115.70296504,138742936.76075307,136345120.5187096,0.0,-43.17546597206843,12.304863363725499,108.3209116292953,869.1779009282037,-34.668641217840566,91.53969413307921,302.9236755616079,51.686848410779554,-57.986073454250416,70.70455060628771,96.3136508759066,-1.728243828497184
5,28,155138878.55656466,15413.887855656467,1000000,548924.302196686,683459.7140867488,1400871.2135930003,14348830.947955102,9030860.503333794,17622743.164149545,70964600.4147672,124547789.94701862,53550044.644653946,90766796.62171355,171641549.858795,155138878.55656466,0.0,-45.107569780331396,24.50891887126854,104.9676352123943,924.2790920910389,-37.06204682395529,95.13913605070091,302.68759383120636,75.50692770631194,-57.00442001625754,69.49901204382107,89.10169384311432,-9.614613312339957
5,29,154914167.07281256,15391.416707281254,1000000,537157.5710012708,677180.1392679478,1292385.3628958634,13237633.061387233,8232977.213110204,16184225.810914762,67313436.60019907,111053066.14693627,50015264.45506312,83173051.2933088,171392935.019619,154914167.07281256,0.0,-46.28424289987292,26.06731726887374,90.84809018365056,924.2790920910395,-37.80627416599934,96.57804694446354,315.9200284687229,64.9790469123186,-54.96273431218275,66.29533443342427,106.06786976613832,-9.61461331233994
5,30,185551240.47236276,18455.124047236277,1000000,515674.08013722254,734661.8742805808,1423711.8621407554,14061082.012791663,8987510.95974408,16756606.107252577,69755857.30749911,126618953.89993234,58012061.84932549,98478994.24041796,209782312.1531097,185551240.47236276,0.0,-48.43259198627774,42.466317889215006,93.79144501474617,887.6353767010696,-36.08236584092211,86.4432341980668,316.28869749052257,81.51730734491332,-54.183745748545086,69.75606641287303,113.02239505103557,-11.550578994029719
5,31,197150289.19682008,19615.02891968201,1000000,554234.5279978894,781106.6193339456,1643719.8251197254,17015036.466215298,10677988.12232288,19976291.938504256,78975307.11750872,142767984.3136274,66456792.43467037,110482776.31262767,224403451.63357973,197150289.19682008,0.0,-44.57654720021106,40.934312078247146,110.4347581283251,935.1543010060096,-37.24381288559169,87.07917362019533,295.3451789783068,80.77547213738649,-53.451193729344425,66.24753056090779,103.11170584507792,-12.144716241379545
5,32,241743598.3645869,24074.359836458687,1000000,563103.4699990272,830494.6051405839,2001914.8455111592,18831780.810335428,12322286.660567163,21943423.35820678,89970655.00272095,152724232.98278913,76697369.05551341,135000523.60811687,275161137.7509969,241743598.3645869,0.0,-43.68965300009728,47.48525792995356,141.05091509562308,840.6884040328404,-34.56653523811018,78.07915010148596,310.0119363056092,69.7489397828329,-49.78048502351514,76.01715061491059,103.82227446001767,-12.144716241379522
