short_period,long_period,final_balance,total_return,trades_count,profitable_years,losing_years,yearly_returns
5,10,61711122.04270583,6071.112204270583,318,10,1,"Y2015=22.89,Y2016=56.20,Y2017=575.62,Y2018=5.70,Y2019=54.43,Y2020=107.00,Y2021=76.48,Y2022=-52.44,Y2023=86.47,Y2024=4.95,Y2025=3.00"
5,11,107443838.22429104,10644.383822429105,310,10,1,"Y2015=45.00,Y2016=64.43,Y2017=689.18,Y2018=12.46,Y2019=45.36,Y2020=98.62,Y2021=84.48,Y2022=-50.38,Y2023=63.88,Y2024=6.72,Y2025=3.00"
5,12,34402843.93431489,3340.2843934314897,278,8,3,"Y2015=21.09,Y2016=81.59,Y2017=485.13,Y2018=-14.14,Y2019=87.72,Y2020=45.26,Y2021=49.13,Y2022=-48.40,Y2023=59.52,Y2024=24.63,Y2025=-2.61"
5,13,31144948.193470675,3014.4948193470677,270,8,3,"Y2015=14.19,Y2016=64.77,Y2017=545.96,Y2018=-34.36,Y2019=83.58,Y2020=36.08,Y2021=82.12,Y2022=-46.91,Y2023=4.43,Y2024=84.46,Y2025=-0.08"
5,14,14070993.173655022,1307.0993173655022,250,8,3,"Y2015=78.26,Y2016=49.82,Y2017=219.63,Y2018=-7.56,Y2019=104.04,Y2020=38.03,Y2021=-30.16,Y2022=-30.88,Y2023=16.97,Y2024=47.96,Y2025=3.93"
5,15,39913705.98479062,3891.370598479062,238,9,2,"Y2015=51.82,Y2016=67.21,Y2017=608.23,Y2018=-11.73,Y2019=50.26,Y2020=13.15,Y2021=18.03,Y2022=-26.99,Y2023=60.48,Y2024=52.71,Y2025=6.47"
5,16,95152716.7504064,9415.27167504064,222,10,1,"Y2015=7.77,Y2016=96.51,Y2017=857.78,Y2018=0.76,Y2019=97.15,Y2020=3.35,Y2021=31.03,Y2022=-46.93,Y2023=108.40,Y2024=76.53,Y2025=5.01"
5,17,188053190.9224598,18705.31909224598,212,9,2,"Y2015=56.67,Y2016=98.83,Y2017=1130.79,Y2018=-14.79,Y2019=116.31,Y2020=14.10,Y2021=122.11,Y2022=-52.59,Y2023=52.64,Y2024=57.56,Y2025=5.01"
5,18,138898010.23962033,13789.801023962033,204,9,2,"Y2015=26.20,Y2016=29.41,Y2017=1110.56,Y2018=-3.34,Y2019=132.33,Y2020=3.45,Y2021=114.48,Y2022=-45.11,Y2023=116.93,Y2024=50.37,Y2025=5.01"
5,19,50375754.356446736,4937.575435644673,182,9,2,"Y2015=22.30,Y2016=8.84,Y2017=1169.41,Y2018=-7.36,Y2019=59.11,Y2020=11.25,Y2021=51.12,Y2022=-47.25,Y2023=100.61,Y2024=51.16,Y2025=5.01"
