short_period,long_period,final_balance,total_return,trades_count,profitable_years,losing_years,yearly_returns
5,10,13108021.378316898,1210.8021378316898,330,5,4,"Y2017=371.62,Y2018=-8.23,Y2019=14.74,Y2020=172.34,Y2021=211.30,Y2022=-39.29,Y2023=-24.40,Y2024=15.61,Y2025=-28.98"
5,11,13236377.046722919,1223.6377046722919,278,6,3,"Y2017=218.76,Y2018=14.88,Y2019=36.20,Y2020=245.00,Y2021=149.38,Y2022=-49.36,Y2023=-18.51,Y2024=22.68,Y2025=-26.26"
5,12,55159532.09694056,5415.953209694056,238,6,3,"Y2017=225.05,Y2018=24.40,Y2019=63.04,Y2020=356.54,Y2021=301.32,Y2022=-39.54,Y2023=-15.37,Y2024=35.66,Y2025=-20.38"
5,13,26250137.203532565,2525.0137203532563,226,6,3,"Y2017=201.17,Y2018=9.15,Y2019=46.06,Y2020=288.23,Y2021=150.84,Y2022=-43.55,Y2023=-9.15,Y2024=64.81,Y2025=-19.19"
5,14,89354325.41680902,8835.432541680902,214,7,2,"Y2017=781.52,Y2018=5.38,Y2019=52.43,Y2020=355.53,Y2021=170.11,Y2022=-43.13,Y2023=14.66,Y2024=6.64,Y2025=-19.19"
5,15,51178958.08748405,5017.895808748405,210,6,3,"Y2017=128.89,Y2018=-32.14,Y2019=52.50,Y2020=357.01,Y2021=330.83,Y2022=-11.41,Y2023=4.00,Y2024=74.94,Y2025=-18.71"
5,16,85261970.65305217,8426.197065305216,202,6,3,"Y2017=185.35,Y2018=16.25,Y2019=52.52,Y2020=320.74,Y2021=463.86,Y2022=-44.66,Y2023=-3.24,Y2024=83.40,Y2025=-18.71"
5,17,559856205.7438928,55885.62057438928,192,7,2,"Y2017=1651.93,Y2018=23.13,Y2019=45.47,Y2020=339.59,Y2021=373.84,Y2022=-33.76,Y2023=4.71,Y2024=83.77,Y2025=-24.47"
5,18,157532200.3572873,15653.220035728727,194,7,2,"Y2017=1058.48,Y2018=0.42,Y2019=21.32,Y2020=155.05,Y2021=343.32,Y2022=-30.71,Y2023=10.42,Y2024=89.14,Y2025=-23.33"
5,19,291544497.0482678,29054.449704826777,182,8,1,"Y2017=1013.95,Y2018=14.72,Y2019=22.06,Y2020=178.26,Y2021=343.27,Y2022=7.46,Y2023=9.43,Y2024=87.65,Y2025=-28.83"
