MA_Period,Final_Balance,Total_Return_Pct,Balance_2013,Return_2013_Pct,Balance_2014,Return_2014_Pct,Balance_2015,Return_2015_Pct,Balance_2016,Return_2016_Pct,Balance_2017,Return_2017_Pct,Balance_2018,Return_2018_Pct,Balance_2019,Return_2019_Pct,Balance_2020,Return_2020_Pct,Balance_2021,Return_2021_Pct,Balance_2022,Return_2022_Pct,Balance_2023,Return_2023_Pct,Balance_2024,Return_2024_Pct,Balance_2025,Return_2025_Pct
2,6.46525411e-315,-100.0,623286.8842530737,-37.67131157469262,1.4611145069253463e-57,-100.0,1.2577150678649873e-131,-100.0,1.8693284281611515e-208,-100.0,1.9024487704494898e-285,-100.0,1.86341947e-316,-100.0,3.26461583e-316,75.19489723600283,1.717154796e-315,425.9898517719446,2.88736904e-315,68.14844226541909,9.4040949e-316,-67.43022877774165,2.532289e-315,169.27514303276752,6.279983346e-315,147.99631249012273,6.46525411e-315,2.950179216494453
3,5.74689254e-315,-100.0,618733.9328576655,-38.12660671423346,8.742727441736461e-48,-100.0,2.0824469960223318e-110,-100.0,1.187573358490146e-176,-100.0,4.6893887286361146e-235,-100.0,1.73518175451386e-296,-100.0,4.89692374e-316,-100.0,1.717154796e-315,250.65990118129636,2.88736904e-315,68.14844226541909,8.35919548e-316,-71.04909224688147,2.250923557e-315,169.27514303276752,5.56870757e-315,147.3965653479429,5.74689254e-315,3.199754531677823
4,5.74689254e-315,-100.0,675685.723444455,-32.4314276555545,2.8862152905711406e-43,-100.0,1.5938149600827484e-99,-100.0,7.960063869633414e-160,-100.0,9.596121259339498e-209,-100.0,1.4284285733956247e-260,-100.0,5.578342924951117e-309,-100.0,1.717154796e-315,-99.99996921747517,2.88736904e-315,68.14844226541909,8.35919548e-316,-71.04909224688147,2.250923557e-315,169.27514303276752,5.56870757e-315,147.3965653479429,5.74689254e-315,3.199754531677823
5,5.774257455e-315,-100.0,732978.9621940512,-26.702103780594875,7.202890695504602e-40,-100.0,4.307218565125251e-92,-100.0,7.680270360070201e-148,-100.0,9.648729657775915e-191,-100.0,3.3929889168361594e-236,-100.0,9.617332498284024e-279,-100.0,1.873259778e-315,-100.0,2.309895233e-315,23.308857661307346,8.35919548e-316,-63.81136530860183,2.250923557e-315,169.27514303276752,5.56870757e-315,147.3965653479429,5.774257455e-315,3.6911596270193137
6,7.21782182e-315,-100.0,737200.0910534305,-26.279990894656958,2.6832004741788318e-37,-100.0,1.2546178478707469e-85,-100.0,6.424826617656727e-138,-100.0,7.827822359225987e-177,-100.0,3.65060625654252e-218,-100.0,6.281675512691964e-257,-100.0,3.308321604137317e-296,-100.0,3.176105945e-315,-100.0,9.4040949e-316,-70.39111707067423,2.532289e-315,169.27514303276752,6.96088446e-315,174.88507260882545,7.21782182e-315,3.6911596270193137
7,8.66138618e-315,-100.0,721661.1813371511,-27.833881866284894,5.61812225765889e-35,-100.0,7.267612412359664e-81,-100.0,1.6067983836304907e-130,-100.0,5.881029126091499e-166,-100.0,3.625853415825629e-204,-100.0,3.472524788902639e-240,-100.0,3.256572250397711e-276,-100.0,1.15581960179467e-310,-100.0,1.46285921e-315,-99.99873435334902,3.376385336e-315,130.8072654566579,8.353061354e-315,147.3965653479429,8.66138618e-315,3.6911596270193137
8,8.66138618e-315,-100.0,737200.0910534305,-26.279990894656958,4.1513343135047466e-33,-100.0,1.8907402400902823e-76,-100.0,8.758259644523448e-124,-100.0,1.0352624174254886e-156,-100.0,1.9036714558475006e-192,-100.0,9.977864062217959e-226,-100.0,5.518245373379838e-259,-100.0,5.130416271937666e-291,-100.0,1.671839095e-315,-100.0,3.939116225e-315,135.61575015367157,8.33527677e-315,111.6027122011424,8.66138618e-315,3.912400535173588
9,8.66138618e-315,-100.0,735194.1044111081,-26.48058955888919,3.262441156277264e-31,-100.0,7.215376380222085e-73,-100.0,2.8051757252930613e-118,-100.0,3.979288419750466e-149,-100.0,1.8225696498281818e-182,-100.0,1.217499111452336e-213,-100.0,7.428784814693395e-245,-100.0,5.799868937248884e-275,-100.0,8.277608814487276e-305,-100.0,4.501847114e-315,-99.99999999456142,8.33527677e-315,85.15237317599957,8.66138618e-315,3.912400535173588
10,8.66138618e-315,-100.0,757952.1391306386,-24.204786086936146,9.959931169601678e-30,-100.0,9.358339139915944e-70,-100.0,1.3954735811461017e-113,-100.0,8.285279630653892e-143,-100.0,1.4228180779347109e-174,-100.0,1.762195850081357e-204,-100.0,4.639501511738059e-234,-100.0,7.491329436062817e-263,-100.0,2.6690766876225468e-291,-100.0,5.34594345e-315,-100.0,8.33527677e-315,55.91778793768385,8.66138618e-315,3.912400535173588
11,1.0104950546e-314,-100.0,734236.8204209894,-26.576317957901065,1.1024334579285913e-28,-100.0,2.3531340655011174e-67,-100.0,1.090290038214013e-109,-100.0,1.031004056112506e-137,-100.0,1.895674942992828e-168,-100.0,5.923931805955757e-197,-100.0,4.654469487481037e-225,-100.0,3.1374132671758556e-252,-100.0,4.879097242165824e-279,-100.0,9.457538726731999e-305,-100.0,9.691825797e-315,-99.99999998975227,1.0104950546e-314,4.262610133325806
