MA_Period,Final_Balance,Total_Return_Pct,Return_2013_Pct,Return_2014_Pct,Return_2015_Pct,Return_2016_Pct,Return_2017_Pct,Return_2018_Pct,Return_2019_Pct,Return_2020_Pct,Return_2021_Pct,Return_2022_Pct,Return_2023_Pct,Return_2024_Pct,Return_2025_Pct
2,4.1917410406797313e-50,-100.0,-4.359225395639976,-99.99935983483604,-99.99881870818463,-99.99841362275293,-99.99432891598694,-99.99981426806694,-99.9988960256061,-99.99845824743984,-99.99943645823241,-99.99933168862715,-99.99915352243556,-99.99806430611511,-66.97732688954659
3,4.048055478482747e-34,-100.0,0.8577391454763328,-99.99143722891291,-99.96961135034161,-99.97918487411546,-99.35623888142527,-99.98754935856063,-99.98165047945008,-99.96649534620097,-99.98447558407845,-99.98987099315151,-99.97174005506292,-99.93054306868278,-51.27889982236435
4,1.1005791789158897e-25,-100.0,0.8577391454763328,-99.96640800721488,-99.74270881280857,-99.82753350816506,-96.24648277621732,-99.96141456342357,-99.83111286056602,-99.828955993713,-99.84822859904469,-99.94839965219312,-99.7933028960113,-99.76978202333552,-53.046909082390506
5,3.047914000137243e-20,-100.0,-2.3105241635216656,-99.8942666732758,-99.4696448787141,-99.51740215384545,-79.65553929613151,-99.79653360624434,-99.38464322437895,-99.54803089997722,-99.56467979597122,-99.8778868497569,-99.46462543421238,-99.33621150666755,-46.990028404585836
6,1.2602684300179552e-15,-100.0,-0.9900990099009799,-99.65895767950592,-98.88463996988732,-98.60564563946397,-44.9059188449778,-99.4307807714766,-98.19327779345139,-98.93603919021504,-98.96330165367763,-99.6789222701518,-98.82315797031893,-98.23778594380556,-42.330394761646915
7,1.5866876837567368e-13,-100.0,-0.9900990099009799,-99.57609507207788,-97.86910077424143,-97.63620930506652,-37.147139702010875,-99.05604041860812,-97.13459194769356,-98.35319757739487,-98.02945276853802,-99.4153350881697,-98.1321495058509,-97.73730428182058,-44.9441004282146
8,9.065324798217529e-12,-100.0,-0.9900990099009799,-99.14901832779539,-97.10687957863409,-96.86615978952945,-22.578441621253177,-99.01420142158628,-95.98092308600347,-96.24015144407294,-95.53524827408371,-99.19141679640516,-98.00899262048804,-97.38645067507726,-45.22671220537776
9,5.867404522957125e-10,-99.99999999999994,0.0,-98.17310634948659,-95.21245242985806,-95.58941739192493,-8.861670511376229,-98.23798292868439,-95.99724924169466,-95.08634724591897,-92.8952649723685,-98.8264690861781,-97.35135430445195,-96.44496035178308,-38.66070501736583
10,2.686257352781499e-09,-99.99999999999973,0.0,-97.64970446461808,-95.36584466527194,-94.45911227152243,-21.181167964083336,-97.41529618015156,-95.02635624508699,-94.96281620422312,-93.05467491540686,-98.83479006634239,-96.25620896645368,-95.55252405479864,-35.27828934516
11,4.92103554704753e-08,-99.99999999999508,0.0,-96.34090580367204,-92.69284946186671,-94.93902872903382,-23.822074906877145,-97.13145575522776,-93.43788713966917,-92.84083215853947,-91.42291510278308,-98.13221747185123,-94.87312562239975,-93.27658385297968,-35.85019099979541
12,4.927749680756129e-07,-99.99999999995072,0.0,-95.63660255213534,-88.22583041367713,-94.08573997351931,-28.47941277446343,-96.90333172674438,-93.25812060012078,-88.3406154342015,-89.12425812211123,-97.67241953325649,-93.80930129557757,-90.61376306736655,-36.66904677774323
13,5.56751339462456e-06,-99.99999999944325,0.0,-94.26901936711374,-89.48790641653721,-92.93280522081547,-2.9177527621678023,-96.65563208699773,-92.43782467900432,-81.01917663051066,-81.45167955234437,-97.48294822541645,-93.10070237672761,-87.37542037829171,-30.997973295373036
14,2.998363792162274e-05,-99.99999999700164,0.0,-93.8501470828407,-85.43005688936672,-92.62150319371794,1.9427022046434983,-95.32517039323415,-86.9431716633135,-78.9534747236369,-83.82996132299249,-96.85454074818978,-92.72239645698339,-86.36398432562945,-31.390727829185007
15,0.00018133488769844972,-99.99999998186652,,-94.07092830545078,-83.09763910565304,-92.42967343461059,46.9544460603974,-95.10356350813741,-84.177776226629,-78.55803790321589,-75.77606687142487,-95.21798195080979,-91.98953021792154,-84.24573954200253,-33.02296758732233
16,0.0008805460369103259,-99.9999999119454,,-93.65629913389002,-84.08671082364265,-87.9315306420882,70.37465068372211,-94.28917445322683,-82.70531077194396,-73.50252881743822,-68.4910217443636,-95.89576121244369,-87.76385986867066,-85.04858755221937,-31.485490014991036
17,0.002019669928934271,-99.99999979803302,,-93.43482495413605,-82.7343494476661,-86.4884631573618,121.94179277079739,-93.58399481935352,-80.40114268905981,-73.73012508652933,-66.29436982912803,-95.586699853637,-90.25130812887257,-82.12802490949414,-30.59847223271416
18,0.010238801146615833,-99.99999897611988,,-93.23175360247313,-80.72093443289877,-86.17210159845224,211.35475761222858,-92.3687205591495,-78.01386251441029,-65.71690301578762,-56.95273691546483,-95.27035845309378,-88.02698096957312,-81.22352035562618,-30.775899359312486
19,0.030834825710338392,-99.99999691651743,,-92.13070882782624,-78.76031435352347,-82.06977923158908,217.42037976803874,-92.48156055108518,-76.70530358694137,-62.97834483196561,-60.57475832183519,-93.67314013247761,-86.7881275737568,-78.16578089371919,-30.52442553838913
20,0.07538555144820296,-99.99999246144485,,-91.69852659833815,-79.17727233885819,-83.7945222943749,254.5932206579538,-92.06943038265334,-71.7821325356805,-55.50217486046481,-57.39637190927902,-93.96262568340651,-82.73385399166688,-75.22032400205548,-30.74518496959512
21,0.11825985355016218,-99.99998817401465,,-89.47983694420587,-80.35641994771225,-78.96201993228635,251.03482834516174,-92.15023811527763,-63.52269927737786,-59.788776126360624,-53.49068217812454,-94.40123628628642,-83.02311220769514,-76.34546834465488,-35.64104721589918
22,0.2595338708884552,-99.99997404661292,,-88.53967001025337,-78.1279270673672,-75.6425421063466,210.45067707977688,-91.84378319058693,-59.346039685273276,-52.087311152008574,-52.96551099145558,-94.23102487089535,-80.93818545594692,-76.91122695969219,-27.82944451240906
23,0.6739076740167458,-99.9999326092326,,-88.26615890507519,-74.31748938461259,-72.68228733531222,169.18807273609212,-91.80906882037391,-62.02673059023833,-43.1210505049514,-38.01127965772142,-94.50107896826333,-76.07121393150558,-72.70330475742558,-22.796169086285868
24,1.2695901371413152,-99.99987304098629,,-87.00490332802796,-72.61776474109662,-75.12022229265979,241.93261441824765,-92.67810867039215,-55.7120092654013,-47.817925507138646,-32.86736728544544,-93.98779985415611,-71.5271987039162,-71.95718167982086,-23.090755746542825
25,7.418024714409856,-99.99925819752856,,-86.59409492684532,-64.06526763223579,-70.35127341195712,306.7786703720339,-89.6491695382241,-50.16474848976107,-37.75139975118016,-30.843020780687823,-92.7214684545486,-66.60473564797213,-70.0823712838458,-20.935737075363615
26,10.023281818272924,-99.99899767181817,,-87.19470621720431,-70.40003905206933,-65.48955103051843,390.8518261389108,-86.58014169940066,-40.73292512965083,-39.243746313252274,-41.581771625392875,-93.258896036382,-64.9462826292993,-70.64390052826019,-20.280606216588794
27,13.87121949597855,-99.9986128780504,,-86.82134154826026,-68.81089171882276,-68.08818256935768,451.3753275975901,-87.1974280708088,-35.16849620420794,-41.72423258817412,-45.41541316371839,-92.87843454025729,-61.24632755899515,-66.13439688578733,-22.276362414486318
28,34.22395642282205,-99.99657760435771,,-83.99053501113798,-71.27736235711605,-63.966458313786326,694.9852420184183,-85.01178803620473,-35.071810236184554,-41.77901496423143,-44.28489302693593,-91.94237127862303,-61.92716339877118,-65.89215073637584,-21.34060557810332
29,75.82483626586185,-99.99241751637341,,-83.19698300163188,-69.20840932839522,-58.19007373222295,748.3098521465138,-83.79688677849659,-37.71404482942005,-41.50129044890907,-35.073805923893765,-90.76171176391883,-61.4835683193467,-61.25192560539434,-21.816398629657343
30,120.99863207737543,-99.98790013679226,,-82.71801523719287,-62.39720593027184,-60.35746837336686,781.6820052239672,-80.80508857030605,-45.49115709269594,-44.25419839540832,-37.056894836269635,-89.74914165051959,-56.4224949943861,-60.152757151048796,-18.48095317529779
31,183.10988951373196,-99.98168901104863,,-80.43366868497532,-67.69879887745918,-50.791326707205144,693.3419029367002,-76.56118298271358,-48.580091805794844,-42.379032828808846,-32.51087355284755,-90.33572838335176,-57.70203446063541,-52.596180180364314,-18.285637932132094
32,341.4101053989969,-99.9658589894601,,-84.18744120272727,-65.17119362185235,-49.72842771168145,687.7218079525427,-73.2563703788732,-39.70842653080502,-26.803774622395693,-26.012485521230477,-89.8408093463774,-56.792199386007034,-51.390414036127005,-15.981870926893748
33,346.05393575465456,-99.96539460642452,,-80.68927531389008,-62.34968382105357,-47.409825306991785,701.231107966274,-73.3816682288021,-45.476084730041336,-17.109150912540784,-33.85563783437499,-90.79298332480712,-60.974488774890176,-53.20254468631545,-15.577711834847774
34,378.4018242149331,-99.96215981757851,,-81.20615956111831,-57.61253486022954,-45.34840603927118,596.1418985194534,-72.06649806839765,-33.63293730495936,-21.92018818792263,-33.43784828856345,-90.01507638713917,-65.111634259275,-57.994328916865115,-11.443133546947381
35,491.79502811310266,-99.95082049718869,,-80.25218987027026,-53.88502022932025,-32.27717913808412,620.1896500717763,-73.06470102214273,-32.31848773235772,-19.269646205684975,-39.10102072670655,-89.90747824250414,-70.46069545767328,-55.82729876759157,-6.190113409518505
36,688.1327770609325,-99.9311867222939,,-76.04188134652476,-54.599730489067454,-30.34774041405305,531.7019922833597,-69.4554508865719,-40.22748531535482,-21.907349418825326,-36.74848897115923,-88.56732341750337,-67.83327574008226,-52.51823461727558,-8.690551619956233
37,1146.067061660766,-99.88539329383393,,-75.55105806656093,-52.46696965114299,-29.6385482451348,556.0640224496234,-69.35332435278603,-33.22904199090224,-10.78167074729225,-42.505022839297546,-88.13699713148519,-63.66454271961259,-48.153114513086,-8.931006732165404
38,1771.1351259152445,-99.82288648740848,,-74.65539825339759,-40.65181446515989,-35.02161891990663,477.8798138465416,-67.0202334955479,-34.0598791582474,-4.12953438576753,-42.64583410660374,-86.26010257695908,-61.98355402576965,-44.871051587878874,-8.931006732165415
39,3395.815099037039,-99.66041849009629,,-75.7533187850101,-31.281686323948186,-23.718084785246653,511.2306945313005,-63.124652490029185,-30.474210818944915,19.04485882880307,-42.994023617770424,-88.08816242766991,-56.30534562558258,-46.216043892696575,-10.253070650086116
40,6207.004558501832,-99.37929954414982,,-74.84137789104533,-22.5157426028979,-16.10563037904956,564.1479921358866,-64.52455390712095,-27.7579901621407,40.287395623496835,-39.10074577297411,-88.92451943319392,-54.974078126156336,-41.75272185027785,-10.146516866404786
41,6467.206993179458,-99.35327930068205,,-73.15786008153565,-14.439922443543097,-13.512628840243202,525.0670766467796,-66.16542980784861,-28.372995695883663,38.97692859624469,-37.12407956245066,-90.44405550829524,-53.027787087671975,-38.6904991164789,-10.619619682647796
42,5238.741925915549,-99.47612580740845,,-76.80994530820162,-20.96071089698941,-9.195745118867693,479.2323235810623,-69.5404119871873,-32.33172685037081,41.282543538835135,-37.41506668803888,-91.56527554413346,-47.274452395576105,-24.989578922488633,-10.619619682647796
43,8508.1438674225,-99.14918561325776,,-72.6584422529755,6.429170554949026,-9.00000488734165,546.4321876516113,-72.03522819493465,-30.274703226216403,41.71267684249224,-39.9583923398196,-91.47729900509484,-48.36849430176525,-20.773139483782487,-14.06711414512597
44,12872.690897111042,-98.7127309102889,,-71.20237331136703,8.825709170589091,-7.967082873504383,485.956246860174,-68.54840434835556,-23.024425514026724,42.47929824403831,-43.390160122905705,-90.29171534119355,-42.01768828819541,-21.078193397439925,-12.199215121801277
45,12486.25395191643,-98.75137460480836,,-69.59288101966764,12.721696786392123,-11.640487405436373,455.76275636670766,-65.76769624830166,-32.69303428506925,43.968118365685925,-40.7580414461568,-89.1966410267426,-44.13752049941814,-28.757798466795194,-12.199215121801277
46,10767.677591826297,-98.92323224081737,,-71.09251825381473,4.396357708296406,-11.393351744930658,420.357418394134,-65.10256839881767,-35.76601322666154,54.56828763575044,-43.28337298826178,-88.39116454808608,-43.52278043025232,-31.59168668397445,-12.199215121801199
47,11630.303492975137,-98.83696965070249,,-71.2542634902841,6.940367855935747,-10.48921807099078,400.77752636444046,-66.59098040747243,-24.775599505220434,43.50504572672889,-33.677499664716535,-88.7433406875245,-41.79385664798545,-39.11405915486128,-11.5475522789105
48,12197.506682743451,-98.78024933172566,,-71.50308908298956,14.873861272931777,-11.07516544054441,382.05381571906685,-66.18126361298553,-21.864582776933094,52.52568148613579,-35.03191484871115,-89.60464109384685,-39.72554118665996,-39.86965010756213,-11.891343665756704
49,13566.579994016192,-98.64334200059838,,-66.49833175978243,10.405419030908147,-8.770737404036788,383.7931206735081,-65.2222396462954,-32.48642193966682,34.82580634445838,-28.939979977562057,-88.43271796109512,-37.38222482372794,-43.97189472835704,-8.968076072310915
50,12604.800664262815,-98.73951993357372,,-70.03025447015418,21.882002350425857,-18.71323769747315,367.03645983851516,-60.694187028194044,-24.752022243829863,42.36078476562237,-31.890663229741712,-88.40086323834657,-40.44527219622258,-49.59675945791111,-8.968076072310927
51,13157.459190784084,-98.68425408092159,,-68.90290839972725,24.167127749990925,-22.626388194048864,369.40909523229993,-63.92266612464621,-28.741875300191644,59.113424595603114,-34.14817886179327,-88.04164130320461,-42.483293510133876,-44.37135154398979,-8.968076072310893
52,13607.093231637367,-98.63929067683627,,-67.07244602415305,39.79995932067428,-22.47695047510332,312.9164311658082,-64.19006670631151,-23.496093753262326,56.98506928036118,-39.874009020160315,-86.79917344366366,-44.32018957346004,-46.54814206647622,-9.105744976421647
53,23675.929255462608,-97.63240707445374,,-69.98975080045949,54.89516590586139,-15.040710465088736,277.60955442400945,-63.32264249659112,-22.680808182485357,57.84721576065406,-34.07996603111325,-84.39142687422367,-35.402641925460024,-41.29276393899165,-9.105744976421605
