datetime,opening_price,high_price,low_price,trade_price,candle_acc_trade_price,candle_acc_trade_volume
2013-12-27 16:00:00,737000,755000,737000,755000,2844538.0,3.78
2013-12-28 16:00:00,750000,750000,750000,750000,9000000.0,12.0
2013-12-29 08:00:00,750000,750000,750000,750000,750000.0,1.0
2013-12-29 12:00:00,728000,733000,728000,733000,3804469.0,5.209
2013-12-29 16:00:00,734000,735000,730000,731000,3615330.0,4.93
2013-12-29 20:00:00,731000,740000,731000,739000,5834032.0,7.919
2013-12-30 08:00:00,740000,758000,740000,758000,2693495.0,3.61
2013-12-30 12:00:00,760000,772000,753000,755000,2416622.0,3.168
2013-12-30 16:00:00,756000,765000,756000,761000,640393.0,0.843228
2013-12-30 20:00:00,759000,768000,759000,768000,1428271.0,1.867745
2013-12-31 00:00:00,768000,768000,768000,768000,8000.0,0.01041633
2013-12-31 08:00:00,768000,772000,764000,772000,3702028.0,4.81523767
2013-12-31 12:00:00,764000,773000,764000,768000,2266436.0,2.95622433
2013-12-31 16:00:00,768000,772000,763000,763000,3251750.0,4.225472
2013-12-31 20:00:00,770000,800000,764000,768000,5129657.0,6.643
2014-01-01 00:00:00,768000,775000,768000,775000,6146334.0,7.97242
2014-01-01 04:00:00,768000,769000,765000,766000,2369423.0,3.089
2014-01-01 08:00:00,769000,771000,767000,767000,463295.0,0.602213
2014-01-01 12:00:00,771000,795000,771000,795000,18528016.0,23.68588864
2014-01-01 16:00:00,789000,795000,770000,770000,14768173.0,18.94248754
2014-01-01 20:00:00,782000,786000,775000,777000,8651172.0,11.08832463
2014-01-02 00:00:00,776000,777000,775000,777000,1528502.0,1.97109789
2014-01-02 04:00:00,776000,778000,775000,776000,3855629.0,4.967747
2014-01-02 08:00:00,778000,779000,775000,779000,4865982.0,6.26364494
2014-01-02 12:00:00,778000,788000,775000,780000,21465711.0,27.42378068
2014-01-02 16:00:00,780000,784000,773000,773000,21670402.0,27.86193
2014-01-02 20:00:00,775000,781000,773000,778000,11447699.0,14.71577701
2014-01-03 00:00:00,778000,780000,774000,779000,13935417.0,17.92082759
2014-01-03 04:00:00,780000,799000,780000,798000,17246667.0,22.00328659
2014-01-03 08:00:00,788000,815000,788000,811000,16674521.0,20.81330375
2014-01-03 12:00:00,812000,812000,800000,802000,8037242.0,10.0094676
2014-01-03 16:00:00,805000,819000,802000,819000,14030872.0,17.28885512
2014-01-03 20:00:00,820000,840000,815000,834000,30064093.0,36.29455117
2014-01-04 00:00:00,831000,838000,831000,835000,6810494.0,8.162145
2014-01-04 04:00:00,834000,837000,831000,837000,4120322.0,4.93936
